City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Lokosovo,RU,2021-03-27 18:53:54,61.1333,74.8167,16.56,91,89,9.13
124,Raymondville,US,2021-03-27 18:53:55,26.4815,-97.7831,91.4,43,1,18.41
125,Ponta Do Sol,PT,2021-03-27 18:53:55,32.6667,-17.1,59.0,58,94,1.99
126,Qaanaaq,GL,2021-03-27 18:53:56,77.484,-69.3632,-6.65,78,100,4.03
127,Cidreira,BR,2021-03-27 18:53:56,-30.1811,-50.2056,78.64,70,100,8.5
128,Hasaki,JP,2021-03-27 18:53:57,35.7333,140.8333,57.2,77,75,10.36
129,Mount Isa,AU,2021-03-27 18:53:57,-20.7333,139.5,78.8,29,4,12.66
130,Jamestown,US,2021-03-27 18:51:36,42.097,-79.2353,62.01,54,1,8.28
131,Luderitz,NA,2021-03-27 18:53:58,-26.6481,15.1594,65.98,73,0,18.48
132,Bethel,US,2021-03-27 18:53:41,41.3712,-73.414,64.0,39,90,6.91
133,Esperance,AU,2021-03-27 18:53:59,-33.8667,121.9,59.0,94,18,6.91
134,Los Llanos De Aridane,ES,2021-03-27 18:53:59,28.6585,-17.9182,69.8,64,75,4.61
135,Carutapera,BR,2021-03-27 18:54:00,-1.195,-46.02,77.58,86,100,1.54
136,Birao,CF,2021-03-27 18:54:00,10.2849,22.7882,85.32,11,18,7.34
137,Tateyama,JP,2021-03-27 18:54:00,34.9833,139.8667,62.01,72,100,3.0
138,Chihuahua,MX,2021-03-27 18:49:22,28.5,-106.0,75.0,10,1,9.22
139,San Cristobal,VE,2021-03-27 18:54:01,7.7669,-72.225,77.0,94,75,6.91
140,Saint-Pierre,RE,2021-03-27 18:51:08,-21.3393,55.4781,77.0,94,90,3.44
141,Torbay,CA,2021-03-27 18:54:01,47.6666,-52.7314,28.99,100,90,27.63
142,Kavaratti,IN,2021-03-27 18:54:01,10.5669,72.642,83.53,77,100,6.17
143,Calderitas,MX,2021-03-27 18:54:02,18.55,-88.25,86.0,70,40,17.27
144,Rawlins,US,2021-03-27 18:54:02,41.7911,-107.2387,39.0,55,1,12.66
145,Basco,PH,2021-03-27 18:54:02,20.4487,121.9702,79.41,86,13,17.25
146,Margate,GB,2021-03-27 18:54:03,51.3813,1.3862,48.0,59,99,4.0
147,Atuona,PF,2021-03-27 18:53:50,-9.8,-139.0333,80.38,80,50,21.09
148,Port Elizabeth,ZA,2021-03-27 18:54:04,-33.918,25.5701,62.6,77,0,11.5
149,Cherskiy,RU,2021-03-27 18:54:05,68.75,161.3,-21.87,98,36,5.44
150,Havoysund,NO,2021-03-27 18:54:05,70.9963,24.6622,37.4,75,90,1.14
151,Kudahuvadhoo,MV,2021-03-27 18:54:06,2.6708,72.8944,80.67,75,100,2.89
152,Bairiki,KI,2021-03-27 18:54:06,1.3292,172.9752,78.8,89,20,6.91
153,Valparaiso,CL,2021-03-27 18:54:06,-33.0393,-71.6273,77.0,38,0,6.91
154,Roseburg,US,2021-03-27 18:52:51,43.2165,-123.3417,59.0,71,1,1.7
155,Hamilton,US,2021-03-27 18:51:56,39.1834,-84.5333,71.01,55,0,1.99
156,Ambilobe,MG,2021-03-27 18:54:07,-13.2,49.05,74.21,96,100,3.56
157,Chapais,CA,2021-03-27 18:54:08,49.7834,-74.8492,35.6,44,1,8.05
158,Honiara,SB,2021-03-27 18:51:24,-9.4333,159.95,77.61,83,18,5.53
159,Meulaboh,ID,2021-03-27 18:54:10,4.1363,96.1285,75.69,91,93,3.62
160,Lasa,IT,2021-03-27 18:54:11,46.6166,10.7002,60.8,65,0,4.61
161,Miaray,PH,2021-03-27 18:54:12,7.5747,125.0444,70.41,88,100,2.75
162,La Paz,BO,2021-03-27 18:49:51,-16.5,-68.15,48.2,71,75,13.8
163,San Ramon,US,2021-03-27 18:49:18,37.7799,-121.978,72.0,29,1,1.99
164,Ouadda,CF,2021-03-27 18:54:14,8.0777,22.4007,78.57,36,44,2.21
165,Southbridge,US,2021-03-27 18:50:28,42.0751,-72.0334,63.0,39,6,1.01
166,Sept-Iles,CA,2021-03-27 18:50:06,50.2001,-66.3821,28.99,43,50,10.36
167,Souillac,MU,2021-03-27 18:54:16,-20.5167,57.5167,75.2,94,75,6.91
168,Maceio,BR,2021-03-27 18:54:17,-9.6658,-35.7353,75.2,94,75,3.44
169,Moerai,PF,2021-03-27 18:54:17,-22.4333,-151.3333,81.45,73,22,20.51
170,Sambava,MG,2021-03-27 18:54:18,-14.2667,50.1667,77.72,89,100,6.35
171,Umm Lajj,SA,2021-03-27 18:54:18,25.0213,37.2685,71.33,54,1,19.26
172,Virginia Beach,US,2021-03-27 18:51:07,36.8529,-75.978,68.0,45,75,16.11
173,Srednekolymsk,RU,2021-03-27 18:50:49,67.45,153.6833,-19.64,98,95,2.04
174,Puerto Baquerizo Moreno,EC,2021-03-27 18:54:18,-0.9,-89.6,84.2,74,20,10.36
175,Erdaojiang,CN,2021-03-27 18:54:19,41.7764,126.0319,44.4,82,100,1.45
176,Keuruu,FI,2021-03-27 18:54:19,62.2667,24.7,39.2,75,0,6.91
177,Lompoc,US,2021-03-27 18:54:20,34.6391,-120.4579,72.0,39,20,5.06
