City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
245,Grand Gaube,MU,77.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
247,Bubaque,GW,75.67,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
250,Ancud,CL,68.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
255,Ondjiva,AO,70.27,overcast clouds,-17.0667,15.7333,SOS Motel
256,Pahrump,US,79.0,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
257,Bandarbeyla,SO,76.64,scattered clouds,9.4942,50.8122,JABIR HOTEL
258,Bambous Virieux,MU,77.0,few clouds,-20.3428,57.7575,Casa Tia Villa
259,Wundanyi,KE,62.2,light rain,-3.4019,38.364000000000004,Taita Rocks Hotel
261,Nouadhibou,MR,64.4,clear sky,20.930999999999997,-17.0347,El Medina
262,Thaton,MM,77.38,scattered clouds,16.9206,97.3714,Tain Pyar Guest House
263,Bilma,NE,70.23,clear sky,18.6853,12.9164,Expeditions Ténére voyages
265,Yulara,AU,71.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
273,Mahanoro,MG,74.28,broken clouds,-19.9,48.8,BUNGALOW MAHAMANINA
274,Hope,US,68.0,clear sky,33.6671,-93.5916,Best Western Hope
276,Huarmey,PE,72.21,overcast clouds,-10.0681,-78.1522,Hotel Miramar
277,Shakawe,BW,66.24,few clouds,-18.3667,21.85,Ditlhapi Guest House
278,Caravelas,BR,78.04,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
286,Cap Malheureux,MU,77.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
289,Kutum,SD,63.41,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
291,Luoyang,CN,61.0,light rain,34.6836,112.4536,易家国际青年旅舍
292,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
294,Kruisfontein,ZA,63.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
296,Havelock,US,71.01,overcast clouds,34.8791,-76.9013,Sherwood Motel
297,Fukue,JP,61.11,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
299,Kannangad,IN,79.92,heavy intensity rain,12.3081,75.1063,Hotel Landmark
304,Bend,US,64.4,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
306,Bonthe,SL,78.93,broken clouds,7.5264,-12.505,Bonthe Holiday Village
309,Richards Bay,ZA,66.99,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
310,Mwinilunga,ZM,60.12,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
311,Mocuba,MZ,69.64,light rain,-16.8392,36.9856,Phama Lodge
315,Dumka,IN,76.19,clear sky,24.2667,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
316,Mpulungu,ZM,71.44,overcast clouds,-8.7623,31.1141,Nhkupi Lodge
320,Madarounfa,NE,73.69,clear sky,13.3087,7.156000000000001,Madarounfa centre ville
322,Kananga,CD,69.87,light rain,-5.8958,22.4178,Guest House Wood Land
323,Kismayo,SO,79.9,overcast clouds,-0.3582,42.5454,Agan-Hotel
326,Praia,CV,68.0,broken clouds,14.9215,-23.5087,LT Aparthotel
331,Perth,AU,68.0,clear sky,-31.9333,115.8333,Beatty Lodge
334,Merauke,ID,77.68,light rain,-8.4667,140.3333,PC
335,Mount Isa,AU,77.0,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
337,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
342,Ayorou,NE,77.32,clear sky,14.7308,0.9174,Hotel Amenokal
343,Zhuhai,CN,75.99,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
344,Benjamin Constant,BR,78.8,light rain,-4.3831,-70.0311,CASA AVALIADA
345,Valle De Allende,MX,71.2,clear sky,26.9333,-105.4,Hotel Meson de San Bartolome
346,Sinnamary,GF,77.86,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
347,Saint-Joseph,RE,77.0,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
348,Hasaki,JP,61.0,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
352,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
355,Jibuti,DJ,78.8,clear sky,11.5,42.5,Orchid Main Camp Goubet
357,Naze,JP,66.2,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
359,Ariquemes,BR,74.03,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
360,Lumphat,KH,76.69,few clouds,13.4878,106.9816,Lumphat Homestay
361,Sumbe,AO,77.0,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
362,San Quintin,MX,69.67,clear sky,30.4833,-115.95,Old Mill Hotel
363,Columbia,US,64.99,broken clouds,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
364,Calama,CL,69.8,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
365,Geraldton,AU,66.2,few clouds,-28.7667,114.6,Broadwater Mariner Resort
368,Buchanan,LR,78.8,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
371,Camabatela,AO,61.9,overcast clouds,-8.1881,15.375,Pensão E Restaurantes
377,Bajil,YE,79.79,few clouds,15.0584,43.2851,فندق الجلال
385,Tutoia,BR,76.77,scattered clouds,-2.7619,-42.2744,Pousada Guará's
386,Iquitos,PE,77.0,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
387,Mwandiga,TZ,71.02,light rain,-4.83,29.6581,One Point
388,Alta Floresta,BR,72.82,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
389,Arcangel,PH,77.7,overcast clouds,11.5395,122.3455,Chateau De Gloria Spring Resort
394,Monrovia,LR,78.8,moderate rain,6.3005,-10.7969,Sunset Inn
395,Gandai,IN,77.23,clear sky,21.6667,81.1,Agrasen Bhawan Gandai
401,Nazca,PE,76.28,few clouds,-14.8333,-74.95,Casa Andina Standard Nasca
403,Dingle,PH,78.17,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
404,Dalbandin,PK,73.62,broken clouds,28.8947,64.4101,Sanjrani House
406,Kudahuvadhoo,MV,79.25,heavy intensity rain,2.6708,72.8944,Niyama Private Islands Maldives
408,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
411,Ahipara,NZ,70.83,light rain,-35.1667,173.1667,Ahipara Holiday Park
412,Sehithwa,BW,75.65,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
414,Betioky,MG,67.17,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
420,Worland,US,69.01,clear sky,44.0169,-107.9554,Town House Motor Inn
421,Foumbot,CM,74.28,overcast clouds,5.5079,10.6356,HÔTEL ROYAL
423,Cuamba,MZ,65.73,overcast clouds,-14.8031,36.5372,Hotel Vision
427,Mayumba,GA,77.09,moderate rain,-3.432,10.6554,LIKWALE LODGE
428,Tuy Hoa,VN,71.94,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
429,Ulladulla,AU,61.0,clear sky,-35.35,150.4667,Sandpiper Motel
430,Peruibe,BR,77.14,light rain,-24.32,-46.9983,Hotel Pousada Xapuri
431,Eldorado,BR,73.36,scattered clouds,-23.7869,-54.2836,Villa Verde Hotel
433,Jackson,US,73.4,clear sky,42.4165,-122.8345,Agate Village Apartments
435,Nishihara,JP,71.6,mist,26.1842,127.7558,Minshuku Agaihama
438,San Patricio,US,62.6,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
439,Kapit,MY,73.6,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
441,Houma,US,68.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
443,Springbok,ZA,63.63,clear sky,-29.6643,17.8865,Undulata Country Lodge
444,Asosa,ET,68.4,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
446,Tura,IN,71.87,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
